 ------------------------------------------------------------------------------
 ----- WATER ------------------------------------------------------------------
 ------------------------------------------------------------------------------
User:	jlant
Date:	11/28/2014 2:55:34 PM
StationID:	20141128_test
Date	Discharge (cfs)	Subsurface Flow (mm/day)	Impervious Flow (mm/day)	Infiltration Excess (mm/day)	Initial Abstracted Flow (mm/day)	Overland Flow (mm/day)	PET (mm/day)	AET(mm/day)	Average Soil Root zone (mm)	Average Soil Unsaturated Zone (mm)	Snow Pack (mm)	Precipitation (mm/day)	Storage Deficit (mm/day)	Return Flow (mm/day)	Water Use (cfs)	Discharge + Water Use (cfs)
04/22/1981	86.5877971952	1.24789310837	9.46937798162e-24	0.0	0.0	0.0	1.08185000615	1.03619328115	55.525588712	0.0	0.0	0.0	287.96743153	0.0	4.64170138889	91.2294985841
04/23/1981	79.3550417002	1.14846165073	4.2990909526e-28	0.0	0.0	0.0	1.75143761187	1.66220751696	53.8639081601	0.0	0.0	0.0	289.125983266	0.0	4.64170138889	83.9967430891
04/24/1981	88.7820422484	1.13621172892	0.00103821607202	0.0469069266535	0.00185496092722	0.0	1.14218268879	1.14218268879	61.6702598495	1.63470292131	0.0	15.5655678779	285.352177812	0.0	4.64170138889	93.4237436373
04/25/1981	96.9586544283	1.3654861768	4.71349367479e-08	0.0	0.0	0.0	1.53661346483	1.53642659329	60.7385857904	0.0	0.0	0.604939405668	285.078890006	0.0	4.64170138889	101.600355817
04/26/1981	97.0948534885	1.38923985128	2.13992281771e-12	0.0	0.0	0.0	1.12297330398	1.11429619689	59.6241479835	0.0	0.0	0.0	286.481415462	0.0	4.64170138889	101.736554877
04/27/1981	87.9309573693	1.26651295142	9.71523456213e-17	0.0	0.0	0.0	1.48812501448	1.46311616607	58.160977851	0.0	0.0	0.0	287.759655874	0.0	4.64170138889	92.5726587582
04/28/1981	80.3616245272	1.16413270938	4.41070966747e-21	0.0	0.0	0.0	2.0010352196	1.94329605358	56.2178477999	0.0	0.0	0.0	288.934243356	0.0	4.64170138889	85.0033259161
04/29/1981	88.3844183586	1.18252999796	0.000482084380959	0.0303342690977	0.00130796233364	0.0	2.03237678694	2.03237678694	61.6702598495	0.165669226826	0.0	10.9562051051	286.851874458	0.0	4.64170138889	93.0261197475
04/30/1981	127.884687519	1.70537870457	0.000701626925186	0.0352074720537	0.00155414376262	0.0	2.28594553034	2.28594553034	61.6702598495	0.902124695814	0.0	13.5314476984	278.10839119	0.0	4.64170138889	132.526388908
05/01/1981	154.915557746	2.20114219192	3.18538131229e-08	0.0	0.0	0.0	1.8427655538	1.84239593029	59.8274942957	0.0	0.0	0.0	279.421925363	0.0	4.64170138889	159.557259135
