siteNo,date,discharge
basin0,1981-12-16,47.0905446572
basin0,1981-12-17,44.2562335416
basin0,1981-12-18,41.6959527392
basin0,1981-12-19,39.3761960311
basin0,1981-12-20,37.2599826908
basin0,1981-12-21,35.3122899997
basin0,1981-12-22,33.5290506286
basin0,1981-12-23,107.918939387
basin0,1981-12-24,84.7384711781
basin0,1981-12-25,80.1397981696
basin0,1981-12-26,76.4694698012
basin0,1981-12-27,69.5139096204
basin0,1981-12-28,61.5776691289
basin0,1981-12-29,59.9175106245
basin0,1981-12-30,58.2544087113
basin0,1981-12-31,54.413284373
basin0,1982-01-01,81.0708791628
basin0,1982-01-02,101.967896642
basin0,1982-01-03,111.177875954
basin0,1982-01-04,308.504595554
basin0,1982-01-05,757.613019229
basin0,1982-01-06,596.047280931
basin0,1982-01-07,398.822698046
basin0,1982-01-08,305.477304609
basin0,1982-01-09,245.45120448
basin0,1982-01-10,206.127678756
basin0,1982-01-11,178.657407281
basin0,1982-01-12,158.380972381
basin0,1982-01-13,142.760915938
basin0,1982-01-14,130.362792268
basin0,1982-01-15,120.307926234
basin0,1982-01-16,111.95340862
basin0,1982-01-17,105.034832275
basin0,1982-01-18,99.0439684833
basin0,1982-01-19,93.8615807966
basin0,1982-01-20,89.2788789551
basin0,1982-01-21,85.3015403339
basin0,1982-01-22,81.7913839062
basin0,1982-01-23,78.6615270243
basin0,1982-01-24,154.199081116
basin0,1982-01-25,147.534948359
basin0,1982-01-26,134.50369664
basin0,1982-01-27,123.458702757
basin0,1982-01-28,114.431228648
basin0,1982-01-29,106.982646984
basin0,1982-01-30,100.702125538
basin0,1982-01-31,131.194646825
basin0,1982-02-01,882.622502595
basin0,1982-02-02,550.47846055
basin0,1982-02-03,717.882697454
basin0,1982-02-04,1402.52114951
basin0,1982-02-05,1580.3622161
basin0,1982-02-06,409.311712497
basin0,1982-02-07,302.547019641
basin0,1982-02-08,242.690921934
basin0,1982-02-09,204.158092689
basin0,1982-02-10,177.118274777
basin0,1982-02-11,157.163981285
basin0,1982-02-12,141.869941534
basin0,1982-02-13,129.682878734
basin0,1982-02-14,119.861455177
basin0,1982-02-15,111.674512371
basin0,1982-02-16,107.419160763
basin0,1982-02-17,107.948929445
basin0,1982-02-18,103.147031372
basin0,1982-02-19,108.828613019
basin0,1982-02-20,151.064204538
basin0,1982-02-21,180.76482706
basin0,1982-02-22,173.860345711
basin0,1982-02-23,160.397757226
basin0,1982-02-24,147.370366382
basin0,1982-02-25,136.780181014
basin0,1982-02-26,125.597525033
basin0,1982-02-27,116.348535082
basin0,1982-02-28,108.720304822
basin0,1982-03-01,102.193841624
basin0,1982-03-02,96.6173836408
basin0,1982-03-03,93.7844294107
basin0,1982-03-04,87.0248310563
basin0,1982-03-05,109.44216372
basin0,1982-03-06,143.903621924
basin0,1982-03-07,200.212757057
basin0,1982-03-08,302.696605046
basin0,1982-03-09,401.991268608
basin0,1982-03-10,312.70885133
basin0,1982-03-11,249.441397422
basin0,1982-03-12,314.441353826
basin0,1982-03-13,288.963324913
basin0,1982-03-14,303.200139885
basin0,1982-03-15,298.550262795
basin0,1982-03-16,253.300105012
basin0,1982-03-17,276.869246754
basin0,1982-03-18,451.15248008
basin0,1982-03-19,450.317733048
basin0,1982-03-20,345.885977628
basin0,1982-03-21,285.125836162
basin0,1982-03-22,253.27029767
basin0,1982-03-23,227.716519947
basin0,1982-03-24,198.171365174
basin0,1982-03-25,181.63257774
basin0,1982-03-26,226.998183193
basin0,1982-03-27,327.874601169
basin0,1982-03-28,280.678381577
basin0,1982-03-29,229.591043421
basin0,1982-03-30,202.263124497
basin0,1982-03-31,241.735152545
basin0,1982-04-01,452.020597307
basin0,1982-04-02,554.756210646
basin0,1982-04-03,412.231320083
basin0,1982-04-04,715.209238563
basin0,1982-04-05,817.716471617
basin0,1982-04-06,659.56637109
basin0,1982-04-07,480.201227793
basin0,1982-04-08,332.259192311
basin0,1982-04-09,283.998705423
basin0,1982-04-10,201.011461401
basin0,1982-04-11,170.984370589
basin0,1982-04-12,156.388850864
basin0,1982-04-13,157.01116622
basin0,1982-04-14,197.865579655
basin0,1982-04-15,186.60061838
basin0,1982-04-16,171.87889713
basin0,1982-04-17,218.42599363
basin0,1982-04-18,760.508644194
basin0,1982-04-19,992.826989326
basin0,1982-04-20,609.948332839
basin0,1982-04-21,446.175397715
basin0,1982-04-22,396.925469761
basin0,1982-04-23,278.651490051
basin0,1982-04-24,215.009985636
basin0,1982-04-25,176.033732268
basin0,1982-04-26,149.362982076
basin0,1982-04-27,253.030849927
basin0,1982-04-28,273.928238328
basin0,1982-04-29,250.020862826
basin0,1982-04-30,198.774261723
basin0,1982-05-01,165.343077615
basin0,1982-05-02,142.043119819
basin0,1982-05-03,125.616685111
basin0,1982-05-04,111.937164486
basin0,1982-05-05,101.127544632
basin0,1982-05-06,92.4587443667
basin0,1982-05-07,85.3551790828
basin0,1982-05-08,79.3089326113
basin0,1982-05-09,74.1335004311
basin0,1982-05-10,69.642225248
basin0,1982-05-11,65.7018335303
basin0,1982-05-12,62.2188919793
basin0,1982-05-13,58.9944514563
basin0,1982-05-14,57.8045698335
basin0,1982-05-15,55.2319795353
basin0,1982-05-16,52.8308206948
basin0,1982-05-17,50.6499566252
basin0,1982-05-18,48.6601769223
basin0,1982-05-19,46.8372434496
basin0,1982-05-20,44.6879070052
basin0,1982-05-21,44.0494627529
basin0,1982-05-22,43.5183929609
basin0,1982-05-23,45.1828540834
basin0,1982-05-24,54.2339775851
basin0,1982-05-25,50.664605277
basin0,1982-05-26,47.8863021514
basin0,1982-05-27,45.8736255402
basin0,1982-05-28,44.2704081225
basin0,1982-05-29,71.8872794202
basin0,1982-05-30,52.1961588377
basin0,1982-05-31,53.2916784412
basin0,1982-06-01,49.8817043445
basin0,1982-06-02,59.0415587196
basin0,1982-06-03,56.3563983178
basin0,1982-06-04,58.2840256813
basin0,1982-06-05,55.8110562328
basin0,1982-06-06,147.76691376
basin0,1982-06-07,412.031099231
basin0,1982-06-08,676.135461986
basin0,1982-06-09,485.988815108
basin0,1982-06-10,307.73396284
basin0,1982-06-11,211.775419472
basin0,1982-06-12,191.830402066
basin0,1982-06-13,155.243525726
basin0,1982-06-14,208.158041847
basin0,1982-06-15,217.236495645
basin0,1982-06-16,198.440947059
basin0,1982-06-17,166.928992108
basin0,1982-06-18,158.700392539
basin0,1982-06-19,138.169474615
basin0,1982-06-20,122.490399471
basin0,1982-06-21,107.995407807
basin0,1982-06-22,102.077063766
basin0,1982-06-23,116.313026083
basin0,1982-06-24,97.4256632035
basin0,1982-06-25,88.6573483186
basin0,1982-06-26,82.064417176
basin0,1982-06-27,76.4996588514
basin0,1982-06-28,109.832851112
basin0,1982-06-29,178.875998263
basin0,1982-06-30,398.485780692
basin0,1982-07-01,509.967802589
basin0,1982-07-02,352.315775096
basin0,1982-07-03,252.018013102
basin0,1982-07-04,198.941414372
basin0,1982-07-05,164.415093678
basin0,1982-07-06,140.328146397
basin0,1982-07-07,123.116303456
basin0,1982-07-08,109.829776037
basin0,1982-07-09,99.2429542533
basin0,1982-07-10,90.5981760821
basin0,1982-07-11,83.3994612198
basin0,1982-07-12,83.600342767
basin0,1982-07-13,81.5529017016
basin0,1982-07-14,76.2751181411
basin0,1982-07-15,71.1898665458
basin0,1982-07-16,65.1363310787
basin0,1982-07-17,63.4217041742
basin0,1982-07-18,59.9760437005
